Serial_Number,Representative,Entry_Time,Repeat_Call,Source,Contact_Name,Phone,Type_of_Contact,Type_of_Request,Subject,Description,Status,Actions
19,אלון,2024-12-27 06:09:20,False,אחר,רוני,0539988776,לקוח פרטי,תקלה,טלוויזיה,האינטרנט לא עובד,הועבר לגורם מטפל,בדיקת חיבורי המקרן
20,איב,2024-12-31 13:35:20,True,אחר,דני,0543344556,לקוח פרטי,פניה כללית,מחשב,האינטרנט לא עובד,טופל,ממתין להגעת טכנאי
21,רני,2024-12-24 23:33:20,True,טלפון,שלמה,0546677889,עובד משרד,בקשה,מקרן,הטלוויזיה לא פועלת,טופל,הוזמן טכנאי
22,מיכל,2024-12-31 13:59:20,False,מייל,יהודית,0524448888,עובד משרד,פניה כללית,מקרן,הטלפון לא מצלצל,בהמתנה,ממתין למענה טכנאי
23,ליהי,2025-01-03 02:01:20,True,טלפון,רוני,0543344556,לקוח פרטי,בקשה,מקרן,המחשב לא מזהה את המסך,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
24,ליהי,2024-12-28 17:24:20,False,טלפון,שלמה,0505556677,לקוח פרטי,תקלה,טלוויזיה,הטלפון לא מצלצל,טופל,ממתין למענה טכנאי
25,מיכל,2025-01-05 17:28:20,False,מייל,מיה,0543344556,עובד משרד,שאלה,מדפסות,המחשב לא נדלק,הועבר לגורם מטפל,ממתין למענה טכנאי
26,ליהי,2024-12-26 21:10:20,False,ווטסאפ,רוני,0509872936,לקוח פרטי,בקשה,חשמל,המדפסת עושה רעש חזק,הופנה לגורם מטפל,הוזמן טכנאי
27,נועה,2025-01-05 12:19:20,True,טלפון,יוסי,0548765432,עובד משרד,בקשה,טלפון,החשמל נכבה כל הזמן,הופנה לגורם מטפל,ניקוי המדפסת והחלפת דפים
28,רני,2024-12-24 22:19:20,True,אחר,מיה,0503322110,לקוח פרטי,פניה כללית,מחשב,הטלוויזיה לא פועלת,הועבר לגורם מטפל,בדיקת חיבורי המקרן
29,רני,2025-01-02 17:37:20,False,ווטסאפ,יוסי,0521234567,לקוח פרטי,תקלה,מקרן,המחשב לא נדלק,בהמתנה,הוזמן טכנאי
30,איב,2025-01-02 04:02:20,False,אחר,יהודית,0505556677,עובד משרד,בקשה,חשמל,המחשב לא מזהה את המסך,הופנה לגורם מטפל,ממתין להגעת טכנאי
31,נועה,2025-01-06 00:53:20,True,טלפון,רוני,0539988776,לקוח פרטי,בקשה,חשמל,האינטרנט לא עובד,הופנה לגורם מטפל,הוזמן טכנאי
32,רני,2024-12-29 04:12:20,True,אחר,אביב,0539988776,עובד משרד,בקשה,מדפסות,המחשב לא מזהה את המסך,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
33,ליהי,2024-12-27 16:46:20,True,טלפון,רחל,0509872936,לקוח פרטי,תקלה,אינטרנט,הטלפון לא מצלצל,בהמתנה,ניקוי המדפסת והחלפת דפים
34,הדר,2024-12-25 16:36:20,True,טלפון,דני,0501122334,לקוח פרטי,בקשה,מקרן,המחשב לא נדלק,בהמתנה,ממתין למענה טכנאי
35,סיגל,2024-12-28 10:52:20,False,ווטסאפ,דני,0539988776,לקוח פרטי,פניה כללית,אינטרנט,המחשב לא מזהה את המסך,הועבר לגורם מטפל,הוזמן טכנאי
36,סיגל,2024-12-30 22:30:20,False,אחר,שלמה,0546677889,לקוח פרטי,שאלה,מחשב,הטלפון לא מצלצל,הופנה לגורם מטפל,הוזמן טכנאי
37,ליהי,2025-01-05 06:59:20,True,ווטסאפ,מיה,0539988776,עובד משרד,שאלה,טלוויזיה,האינטרנט לא עובד,הופנה לגורם מטפל,ניקוי המדפסת והחלפת דפים
38,סיגל,2025-01-05 00:06:20,True,ווטסאפ,שירה,0501122334,עובד משרד,תקלה,מדפסות,המדפסת עושה רעש חזק,טופל,הוצאת המדפסת מהחשמל והחזרה
39,נועה,2025-01-05 13:26:20,False,אחר,דני,0503322110,עובד משרד,פניה כללית,אינטרנט,המחשב לא נדלק,הועבר לגורם מטפל,בדיקת חיבורי המקרן
40,אלון,2025-01-06 06:59:20,False,מייל,מיה,0539988776,עובד משרד,בקשה,מערכת מחשב,החשמל נכבה כל הזמן,טופל,חיבור מחדש של המסך
41,רני,2024-12-27 22:18:20,False,אחר,אביב,0521234567,לקוח פרטי,בקשה,מדפסות,המחשב לא נדלק,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
42,ליהי,2024-12-23 23:49:20,True,ווטסאפ,יוסי,0524448888,עובד משרד,פניה כללית,טלפון,הטלוויזיה לא פועלת,בהמתנה,ממתין להגעת טכנאי
43,יובל,2024-12-31 05:58:20,True,אחר,יהודית,0521234567,עובד משרד,בקשה,אינטרנט,האינטרנט לא עובד,בהמתנה,בדיקת חיבורי המקרן
44,מיכל,2025-01-02 14:52:20,True,מייל,יהודית,0546677889,עובד משרד,בקשה,מקרן,הטלוויזיה לא פועלת,הועבר לגורם מטפל,ממתין למענה טכנאי
45,תומר,2024-12-29 14:33:20,True,ווטסאפ,יוסי,0548765432,לקוח פרטי,שאלה,מערכת מחשב,המדפסת עושה רעש חזק,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
46,רני,2024-12-29 10:26:20,True,טלפון,יהודית,0505556677,עובד משרד,בקשה,חשמל,הטלפון לא מצלצל,בהמתנה,בדיקת חיבורי המקרן
47,יובל,2024-12-29 13:03:20,False,אחר,יוסי,0501122334,לקוח פרטי,תקלה,טלפון,המחשב לא נדלק,בהמתנה,ממתין למענה טכנאי
48,תומר,2024-12-25 10:37:20,True,מייל,שירה,0546677889,לקוח פרטי,פניה כללית,אינטרנט,החשמל נכבה כל הזמן,הופנה לגורם מטפל,ממתין למענה טכנאי
49,איב,2024-12-24 22:41:20,True,ווטסאפ,דני,0548765432,עובד משרד,תקלה,מקרן,הטלוויזיה לא פועלת,טופל,ממתין למענה טכנאי
50,אלון,2025-01-04 11:29:20,False,מייל,שירה,0539988776,לקוח פרטי,פניה כללית,אינטרנט,האינטרנט לא עובד,בהמתנה,ממתין להגעת טכנאי
51,אלון,2024-12-30 12:46:20,False,מייל,יהודית,0546677889,לקוח פרטי,שאלה,חשמל,המחשב לא מזהה את המסך,בהמתנה,הוצאת המדפסת מהחשמל והחזרה
52,אלון,2025-01-01 00:21:20,True,ווטסאפ,שירה,0539988776,לקוח פרטי,שאלה,מקרן,הטלוויזיה לא פועלת,בהמתנה,בדיקת חיבורי המקרן
53,נועה,2025-01-01 20:40:20,False,טלפון,רוני,0539988776,עובד משרד,בקשה,חשמל,החשמל נכבה כל הזמן,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
54,מיכל,2024-12-31 21:11:20,True,מייל,שירה,0505556677,עובד משרד,תקלה,מדפסות,המחשב לא מזהה את המסך,בהמתנה,הוזמן טכנאי
55,אלון,2024-12-28 23:10:20,False,ווטסאפ,אביב,0543344556,עובד משרד,תקלה,מחשב,האינטרנט לא עובד,הועבר לגורם מטפל,בדיקת חיבורי המקרן
56,מיכל,2024-12-27 05:21:20,True,ווטסאפ,דני,0524448888,עובד משרד,פניה כללית,מקרן,המחשב לא נדלק,בהמתנה,בדיקת חיבורי המקרן
57,תומר,2024-12-26 04:20:20,False,אחר,יוסי,0509872936,לקוח פרטי,תקלה,מערכת מחשב,החשמל נכבה כל הזמן,טופל,ניקוי המדפסת והחלפת דפים
58,איב,2024-12-24 00:48:20,False,טלפון,שלמה,0521234567,עובד משרד,שאלה,מחשב,המקרן לא עובד,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
59,תומר,2024-12-24 16:29:20,True,אחר,רחל,0539988776,לקוח פרטי,פניה כללית,טלוויזיה,האינטרנט לא עובד,בהמתנה,ממתין למענה טכנאי
60,אלון,2024-12-26 10:47:20,False,מייל,רוני,0543344556,עובד משרד,פניה כללית,טלפון,האינטרנט לא עובד,הופנה לגורם מטפל,ממתין להגעת טכנאי
61,אלון,2025-01-04 01:42:20,True,אחר,יהודית,0505556677,לקוח פרטי,פניה כללית,טלוויזיה,הטלפון לא מצלצל,בהמתנה,ממתין למענה טכנאי
62,תומר,2024-12-28 05:53:20,True,ווטסאפ,דני,0509872936,לקוח פרטי,בקשה,טלפון,הטלפון לא מצלצל,הופנה לגורם מטפל,בדיקת חיבורי המקרן
63,הדר,2024-12-30 15:45:20,False,מייל,שלמה,0548765432,עובד משרד,תקלה,מערכת מחשב,המקרן לא עובד,הופנה לגורם מטפל,בדיקת חיבורי המקרן
64,רני,2024-12-24 04:03:20,False,מייל,יהודית,0521234567,לקוח פרטי,שאלה,חשמל,האינטרנט לא עובד,בהמתנה,ניקוי המדפסת והחלפת דפים
65,ליהי,2024-12-27 04:04:20,False,ווטסאפ,רחל,0509872936,לקוח פרטי,תקלה,חשמל,האינטרנט לא עובד,טופל,חיבור מחדש של המסך
66,תומר,2025-01-01 16:39:20,False,אחר,יוסי,0505556677,עובד משרד,בקשה,טלוויזיה,החשמל נכבה כל הזמן,בהמתנה,בדיקת חיבורי המקרן
67,מיכל,2024-12-27 13:14:20,False,אחר,שלמה,0546677889,לקוח פרטי,שאלה,חשמל,המדפסת עושה רעש חזק,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
68,מיכל,2025-01-06 05:34:20,True,טלפון,יהודית,0521234567,לקוח פרטי,בקשה,מדפסות,המדפסת עושה רעש חזק,טופל,הוצאת המדפסת מהחשמל והחזרה
69,מיכל,2024-12-24 06:09:20,False,מייל,רוני,0539988776,עובד משרד,תקלה,מחשב,הטלפון לא מצלצל,בהמתנה,הוזמן טכנאי
70,אלון,2025-01-04 17:06:20,False,טלפון,יהודית,0543344556,לקוח פרטי,שאלה,מקרן,האינטרנט לא עובד,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
71,סיגל,2024-12-26 09:10:20,True,מייל,יהודית,0503322110,עובד משרד,פניה כללית,טלפון,האינטרנט לא עובד,הועבר לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
72,נועה,2025-01-05 18:55:20,True,מייל,מיה,0503322110,לקוח פרטי,שאלה,חשמל,האינטרנט לא עובד,טופל,ממתין להגעת טכנאי
73,סיגל,2024-12-25 02:20:20,False,מייל,מיה,0543344556,עובד משרד,בקשה,מדפסות,המקרן לא עובד,הועבר לגורם מטפל,ממתין להגעת טכנאי
74,מיכל,2024-12-26 18:12:20,True,אחר,יהודית,0509872936,לקוח פרטי,בקשה,אינטרנט,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,בדיקת חיבורי המקרן
75,תומר,2025-01-05 00:59:20,True,מייל,שירה,0546677889,לקוח פרטי,פניה כללית,מחשב,החשמל נכבה כל הזמן,הופנה לגורם מטפל,ממתין למענה טכנאי
76,איב,2024-12-27 04:02:20,False,טלפון,יהודית,0546677889,לקוח פרטי,בקשה,מחשב,האינטרנט לא עובד,טופל,חיבור מחדש של המסך
77,יובל,2024-12-24 19:23:20,False,אחר,שירה,0505556677,עובד משרד,בקשה,טלוויזיה,המדפסת עושה רעש חזק,טופל,ממתין למענה טכנאי
78,הדר,2024-12-28 12:29:20,False,ווטסאפ,שלמה,0546677889,לקוח פרטי,תקלה,חשמל,המדפסת לא מחוברת לרשת,טופל,ממתין למענה טכנאי
79,יובל,2024-12-30 08:42:20,False,אחר,יוסי,0539988776,עובד משרד,פניה כללית,מקרן,המחשב לא נדלק,הופנה לגורם מטפל,ניקוי המדפסת והחלפת דפים
80,הדר,2024-12-25 19:00:20,True,טלפון,שלמה,0546677889,לקוח פרטי,תקלה,טלוויזיה,המדפסת לא מחוברת לרשת,טופל,ניקוי המדפסת והחלפת דפים
81,יובל,2024-12-25 10:07:20,True,מייל,דני,0503322110,עובד משרד,בקשה,טלוויזיה,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,ניקוי המדפסת והחלפת דפים
82,אלון,2024-12-31 22:01:20,True,ווטסאפ,דני,0501122334,לקוח פרטי,פניה כללית,חשמל,המדפסת לא מחוברת לרשת,הועבר לגורם מטפל,בדיקת חיבורי המקרן
83,מיכל,2024-12-31 12:32:20,False,טלפון,רוני,0548765432,עובד משרד,פניה כללית,אינטרנט,החשמל נכבה כל הזמן,הועבר לגורם מטפל,ניקוי המדפסת והחלפת דפים
84,רני,2024-12-24 07:45:20,True,מייל,אביב,0543344556,עובד משרד,בקשה,מחשב,האינטרנט לא עובד,טופל,בדיקת חיבורי המקרן
85,אלון,2024-12-24 11:02:20,True,טלפון,יהודית,0501122334,לקוח פרטי,פניה כללית,אינטרנט,הטלפון לא מצלצל,הופנה לגורם מטפל,ממתין להגעת טכנאי
86,איב,2024-12-30 09:06:20,True,מייל,מיה,0546677889,לקוח פרטי,שאלה,טלפון,המחשב לא מזהה את המסך,הועבר לגורם מטפל,ממתין להגעת טכנאי
87,הדר,2024-12-26 18:12:20,False,אחר,יהודית,0521234567,לקוח פרטי,שאלה,מקרן,האינטרנט לא עובד,הופנה לגורם מטפל,ממתין למענה טכנאי
88,סיגל,2024-12-31 05:09:20,True,אחר,מיה,0543344556,עובד משרד,פניה כללית,מקרן,המחשב לא נדלק,הועבר לגורם מטפל,ממתין להגעת טכנאי
89,איב,2025-01-05 03:58:20,True,אחר,רחל,0509872936,עובד משרד,פניה כללית,מערכת מחשב,המדפסת עושה רעש חזק,בהמתנה,חיבור מחדש של המסך
90,נועה,2024-12-31 11:15:20,False,טלפון,יוסי,0548765432,לקוח פרטי,תקלה,טלפון,המקרן לא עובד,הועבר לגורם מטפל,חיבור מחדש של המסך
91,נועה,2024-12-23 12:27:20,False,ווטסאפ,רחל,0503322110,עובד משרד,שאלה,טלפון,האינטרנט לא עובד,הופנה לגורם מטפל,ניקוי המדפסת והחלפת דפים
92,רני,2024-12-27 02:41:20,False,ווטסאפ,דני,0548765432,לקוח פרטי,פניה כללית,טלוויזיה,המקרן לא עובד,בהמתנה,ניקוי המדפסת והחלפת דפים
93,סיגל,2024-12-29 09:24:20,False,אחר,מיה,0505556677,לקוח פרטי,תקלה,מחשב,המדפסת עושה רעש חזק,הועבר לגורם מטפל,הוזמן טכנאי
94,נועה,2024-12-25 04:11:20,True,אחר,יוסי,0501122334,לקוח פרטי,בקשה,מערכת מחשב,הטלפון לא מצלצל,הופנה לגורם מטפל,הוזמן טכנאי
95,איב,2024-12-30 07:09:20,True,אחר,רוני,0546677889,עובד משרד,פניה כללית,מקרן,המחשב לא נדלק,הופנה לגורם מטפל,חיבור מחדש של המסך
96,אלון,2024-12-26 14:10:20,True,ווטסאפ,רוני,0548765432,לקוח פרטי,תקלה,טלפון,המדפסת לא מחוברת לרשת,הועבר לגורם מטפל,ממתין להגעת טכנאי
97,רני,2025-01-04 11:38:20,False,ווטסאפ,מיה,0503322110,לקוח פרטי,שאלה,מדפסות,הטלוויזיה לא פועלת,בהמתנה,הוצאת המדפסת מהחשמל והחזרה
98,ליהי,2024-12-25 13:48:20,True,טלפון,רחל,0524448888,לקוח פרטי,תקלה,מערכת מחשב,המקרן לא עובד,טופל,הוזמן טכנאי
99,מיכל,2024-12-26 01:01:20,False,ווטסאפ,מיה,0548765432,לקוח פרטי,שאלה,מקרן,המקרן לא עובד,הופנה לגורם מטפל,ניקוי המדפסת והחלפת דפים
100,סיגל,2025-01-03 03:03:20,True,ווטסאפ,שלמה,0501122334,עובד משרד,פניה כללית,חשמל,החשמל נכבה כל הזמן,הועבר לגורם מטפל,ממתין להגעת טכנאי
101,תומר,2024-12-25 16:31:20,True,טלפון,אביב,0546677889,לקוח פרטי,בקשה,אינטרנט,המחשב לא נדלק,בהמתנה,הוזמן טכנאי
102,יובל,2025-01-02 23:03:20,True,מייל,יוסי,0501122334,לקוח פרטי,תקלה,מקרן,הטלוויזיה לא פועלת,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
103,תומר,2024-12-29 13:26:20,True,מייל,רחל,0543344556,עובד משרד,תקלה,מקרן,המקרן לא עובד,הועבר לגורם מטפל,בדיקת חיבורי המקרן
104,אלון,2024-12-25 18:58:20,True,מייל,יהודית,0539988776,עובד משרד,פניה כללית,מחשב,המחשב לא מזהה את המסך,הופנה לגורם מטפל,חיבור מחדש של המסך
105,תומר,2025-01-06 06:45:20,True,טלפון,שלמה,0505556677,עובד משרד,שאלה,מדפסות,המדפסת עושה רעש חזק,בהמתנה,הוצאת המדפסת מהחשמל והחזרה
106,נועה,2025-01-01 17:40:20,True,טלפון,שלמה,0546677889,לקוח פרטי,תקלה,מחשב,הטלוויזיה לא פועלת,הועבר לגורם מטפל,הוזמן טכנאי
107,נועה,2024-12-25 15:00:20,False,ווטסאפ,רוני,0521234567,עובד משרד,פניה כללית,מקרן,המחשב לא מזהה את המסך,הועבר לגורם מטפל,הוזמן טכנאי
108,ליהי,2024-12-23 14:12:20,True,טלפון,שירה,0546677889,לקוח פרטי,תקלה,מקרן,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,ממתין למענה טכנאי
109,רני,2024-12-30 01:51:20,True,ווטסאפ,יהודית,0501122334,עובד משרד,פניה כללית,מקרן,המחשב לא מזהה את המסך,בהמתנה,ממתין להגעת טכנאי
110,איב,2024-12-29 14:59:20,False,מייל,רחל,0521234567,עובד משרד,בקשה,מחשב,המדפסת עושה רעש חזק,הועבר לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
111,רני,2024-12-23 23:12:20,False,אחר,שלמה,0501122334,עובד משרד,תקלה,אינטרנט,המחשב לא מזהה את המסך,בהמתנה,ניקוי המדפסת והחלפת דפים
112,רני,2024-12-29 11:54:20,True,טלפון,יוסי,0524448888,לקוח פרטי,תקלה,טלפון,הטלוויזיה לא פועלת,בהמתנה,הוזמן טכנאי
113,מיכל,2024-12-28 11:42:20,True,אחר,מיה,0501122334,לקוח פרטי,בקשה,מחשב,המדפסת עושה רעש חזק,טופל,ממתין להגעת טכנאי
114,איב,2025-01-03 12:18:20,False,טלפון,יהודית,0546677889,לקוח פרטי,שאלה,מקרן,החשמל נכבה כל הזמן,טופל,ניקוי המדפסת והחלפת דפים
115,אלון,2025-01-03 02:12:20,True,מייל,שלמה,0505556677,לקוח פרטי,פניה כללית,חשמל,החשמל נכבה כל הזמן,הועבר לגורם מטפל,ממתין למענה טכנאי
116,מיכל,2024-12-27 12:16:20,False,מייל,דני,0521234567,עובד משרד,פניה כללית,טלוויזיה,הטלוויזיה לא פועלת,טופל,חיבור מחדש של המסך
117,יובל,2024-12-27 20:43:20,False,ווטסאפ,דני,0521234567,לקוח פרטי,תקלה,טלוויזיה,המחשב לא מזהה את המסך,בהמתנה,ניקוי המדפסת והחלפת דפים
118,תומר,2024-12-26 19:35:20,True,אחר,רוני,0546677889,עובד משרד,שאלה,טלפון,המחשב לא מזהה את המסך,הופנה לגורם מטפל,ממתין למענה טכנאי
119,יובל,2024-12-27 03:52:20,False,אחר,יוסי,0539988776,לקוח פרטי,שאלה,טלוויזיה,המדפסת לא מחוברת לרשת,טופל,חיבור מחדש של המסך
120,נועה,2025-01-04 08:33:20,True,אחר,יוסי,0505556677,לקוח פרטי,בקשה,חשמל,האינטרנט לא עובד,טופל,ממתין להגעת טכנאי
121,נועה,2024-12-26 02:46:20,False,טלפון,שירה,0524448888,עובד משרד,בקשה,טלפון,החשמל נכבה כל הזמן,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
122,תומר,2025-01-01 04:14:20,True,מייל,מיה,0548765432,לקוח פרטי,פניה כללית,חשמל,המחשב לא מזהה את המסך,טופל,הוצאת המדפסת מהחשמל והחזרה
123,הדר,2024-12-25 21:08:20,True,טלפון,רוני,0505556677,לקוח פרטי,תקלה,מערכת מחשב,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,חיבור מחדש של המסך
124,ליהי,2025-01-02 22:54:20,False,ווטסאפ,מיה,0524448888,לקוח פרטי,תקלה,מערכת מחשב,המדפסת עושה רעש חזק,הועבר לגורם מטפל,הוזמן טכנאי
125,רני,2025-01-01 00:44:20,False,טלפון,אביב,0503322110,לקוח פרטי,תקלה,טלוויזיה,המדפסת עושה רעש חזק,בהמתנה,הוזמן טכנאי
126,סיגל,2024-12-31 08:11:20,True,ווטסאפ,אביב,0548765432,לקוח פרטי,פניה כללית,טלוויזיה,המחשב לא נדלק,הועבר לגורם מטפל,ממתין למענה טכנאי
127,סיגל,2024-12-29 04:18:20,False,טלפון,יהודית,0524448888,עובד משרד,תקלה,טלפון,המדפסת לא מחוברת לרשת,טופל,הוצאת המדפסת מהחשמל והחזרה
128,ליהי,2024-12-25 22:01:20,True,אחר,שירה,0539988776,עובד משרד,תקלה,טלוויזיה,החשמל נכבה כל הזמן,טופל,ניקוי המדפסת והחלפת דפים
129,איב,2025-01-01 13:30:20,False,ווטסאפ,רוני,0548765432,עובד משרד,תקלה,מערכת מחשב,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,הוזמן טכנאי
130,נועה,2024-12-28 12:35:20,False,טלפון,יוסי,0505556677,לקוח פרטי,שאלה,מערכת מחשב,המחשב לא נדלק,בהמתנה,ממתין להגעת טכנאי
131,תומר,2025-01-02 11:48:20,False,מייל,רחל,0521234567,עובד משרד,פניה כללית,מקרן,המקרן לא עובד,הועבר לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
132,תומר,2024-12-30 03:50:20,False,טלפון,מיה,0509872936,עובד משרד,בקשה,אינטרנט,המחשב לא נדלק,טופל,חיבור מחדש של המסך
133,נועה,2024-12-29 07:35:20,True,ווטסאפ,יוסי,0503322110,עובד משרד,תקלה,מחשב,המקרן לא עובד,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
134,ליהי,2025-01-03 11:07:20,True,אחר,יהודית,0546677889,לקוח פרטי,תקלה,מחשב,האינטרנט לא עובד,בהמתנה,חיבור מחדש של המסך
135,יובל,2025-01-05 11:02:20,False,מייל,דני,0509872936,עובד משרד,בקשה,טלוויזיה,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
136,סיגל,2025-01-03 20:39:20,True,ווטסאפ,רחל,0539988776,עובד משרד,בקשה,מדפסות,המדפסת לא מחוברת לרשת,הופנה לגורם מטפל,בדיקת חיבורי המקרן
137,רני,2024-12-28 13:16:20,False,אחר,יוסי,0539988776,עובד משרד,פניה כללית,טלוויזיה,האינטרנט לא עובד,הועבר לגורם מטפל,הוצאת המדפסת מהחשמל והחזרה
138,מיכל,2025-01-04 04:55:20,True,טלפון,רוני,0509872936,לקוח פרטי,בקשה,מקרן,החשמל נכבה כל הזמן,טופל,ניקוי המדפסת והחלפת דפים
139,תומר,2024-12-31 05:15:20,True,ווטסאפ,שירה,0543344556,לקוח פרטי,בקשה,מחשב,המדפסת לא מחוברת לרשת,בהמתנה,הוצאת המדפסת מהחשמל והחזרה
140,איב,2024-12-26 18:29:20,True,טלפון,מיה,0539988776,עובד משרד,תקלה,מקרן,הטלפון לא מצלצל,הופנה לגורם מטפל,ממתין להגעת טכנאי
141,הדר,2025-01-05 16:21:20,True,מייל,שלמה,0539988776,לקוח פרטי,שאלה,אינטרנט,האינטרנט לא עובד,בהמתנה,ממתין להגעת טכנאי
142,הדר,2025-01-04 02:17:20,True,מייל,יהודית,0543344556,לקוח פרטי,תקלה,טלוויזיה,הטלפון לא מצלצל,טופל,בדיקת חיבורי המקרן
143,נועה,2025-01-04 10:40:20,True,טלפון,דני,0548765432,עובד משרד,תקלה,טלפון,הטלפון לא מצלצל,הופנה לגורם מטפל,בדיקת חיבורי המקרן
144,ליהי,2025-01-06 09:07:20,False,אחר,אביב,0501122334,עובד משרד,תקלה,מחשב,המקרן לא עובד,בהמתנה,ממתין להגעת טכנאי
145,איב,2025-01-02 06:42:20,True,אחר,דני,0521234567,עובד משרד,תקלה,מחשב,הטלוויזיה לא פועלת,טופל,חיבור מחדש של המסך
146,רני,2025-01-05 21:40:20,True,מייל,מיה,0546677889,לקוח פרטי,תקלה,מחשב,הטלפון לא מצלצל,בהמתנה,ניקוי המדפסת והחלפת דפים
147,סיגל,2024-12-31 14:55:20,False,מייל,שירה,0521234567,לקוח פרטי,שאלה,מחשב,המחשב לא נדלק,טופל,ניקוי המדפסת והחלפת דפים
